Run	bases	avgLength	InsertSize	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	Platform	BioProject	BioSample	ScientificName	CenterName	Consent
ERR2743238	33063156808	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827672	Bos taurus	ETH ZURICH	public
ERR2743237	35667830348	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827671	Bos taurus	ETH ZURICH	public
ERR2743236	38304499258	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827670	Bos taurus	ETH ZURICH	public
ERR2743235	40255984670	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827669	Bos taurus	ETH ZURICH	public
ERR2743234	34139340864	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827668	Bos taurus	ETH ZURICH	public
ERR2743233	34543318476	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827667	Bos taurus	ETH ZURICH	public
ERR2743232	35162339184	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827666	Bos taurus	ETH ZURICH	public
ERR2743231	40435004404	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827665	Bos taurus	ETH ZURICH	public
ERR2743230	36212598842	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827664	Bos taurus	ETH ZURICH	public
ERR2743229	35884919806	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827663	Bos taurus	ETH ZURICH	public
ERR2743228	55017864256	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827662	Bos taurus	ETH ZURICH	public
